Countries or Regions,Currency Code,Price,Proceeds,May Adjust Automatically
United Kingdom,GBP,0.99,0.7,N
Afghanistan,USD,0.99,0.84,Y
Albania,USD,0.99,0.7,Y
Algeria,USD,0.99,0.84,Y
Angola,USD,0.99,0.84,Y
Anguilla,USD,0.99,0.84,Y
Antigua and Barbuda,USD,0.99,0.84,Y
Argentina,USD,0.99,0.84,Y
Armenia,USD,0.99,0.7,Y
Australia,AUD,1.99,1.54,Y
Austria,EUR,0.99,0.7,Y
Azerbaijan,USD,0.99,0.71,Y
Bahamas,USD,0.99,0.77,Y
Bahrain,USD,0.99,0.77,Y
Barbados,USD,0.99,0.72,Y
Belarus,USD,0.99,0.7,Y
Belgium,EUR,0.99,0.7,Y
Belize,USD,0.99,0.84,Y
Benin,USD,0.99,0.71,Y
Bermuda,USD,0.99,0.84,Y
Bhutan,USD,0.99,0.8,Y
Bolivia,USD,0.99,0.84,Y
Bosnia and Herzegovina,EUR,0.99,0.72,Y
Botswana,USD,0.99,0.84,Y
Brazil,BRL,6.9,5.12,Y
British Virgin Islands,USD,0.99,0.84,Y
Brunei,USD,0.99,0.84,Y
Bulgaria,EUR,0.99,0.7,Y
Burkina Faso,USD,0.99,0.84,Y
Cambodia,USD,0.99,0.77,Y
Cameroon,USD,0.99,0.71,Y
Canada,CAD,0.99,0.84,Y
Cape Verde,USD,0.99,0.84,Y
Cayman Islands,USD,0.99,0.84,Y
Chad,USD,0.99,0.84,Y
Chile,CLP,990,707,Y
China mainland,CNY,8.0,6.74,Y
Colombia,COP,4900.0,3500.0,Y
"Congo, Democratic Republic of the",USD,0.99,0.84,Y
"Congo, Republic of the",USD,0.99,0.84,Y
Costa Rica,USD,0.99,0.84,Y
Côte d’Ivoire,USD,0.99,0.71,Y
Croatia,EUR,0.99,0.67,Y
Cyprus,EUR,0.99,0.71,Y
Czech Republic,CZK,29.0,20.37,Y
Denmark,DKK,9.0,6.12,Y
Dominica,USD,0.99,0.84,Y
Dominican Republic,USD,0.99,0.84,Y
Ecuador,USD,0.99,0.84,Y
Egypt,EGP,49.99,37.27,Y
El Salvador,USD,0.99,0.84,Y
Estonia,EUR,0.99,0.68,Y
Eswatini,USD,0.99,0.84,Y
Fiji,USD,0.99,0.84,Y
Finland,EUR,0.99,0.67,Y
France,EUR,0.99,0.7,Y
Gabon,USD,0.99,0.84,Y
Gambia,USD,0.99,0.84,Y
Georgia,USD,0.99,0.71,Y
Germany,EUR,0.99,0.71,Y
Ghana,USD,0.99,0.7,Y
Greece,EUR,0.99,0.68,Y
Grenada,USD,0.99,0.84,Y
Guatemala,USD,0.99,0.84,Y
Guinea-Bissau,USD,0.99,0.84,Y
Guyana,USD,0.99,0.84,Y
Honduras,USD,0.99,0.84,Y
Hong Kong,HKD,8.0,6.8,Y
Hungary,HUF,499,334,Y
Iceland,USD,0.99,0.68,Y
India,INR,99.0,71.31,Y
Indonesia,IDR,19000,14550,Y
Iraq,USD,0.99,0.84,Y
Ireland,EUR,0.99,0.68,Y
Israel,ILS,2.9,2.47,Y
Italy,EUR,0.99,0.69,Y
Jamaica,USD,0.99,0.84,Y
Japan,JPY,150,116,Y
Jordan,USD,0.99,0.84,Y
Kazakhstan,KZT,499.0,365.65,Y
Kenya,USD,0.99,0.72,Y
"Korea, Republic of",KRW,1100,850,Y
Kosovo,EUR,0.99,0.71,Y
Kuwait,USD,0.99,0.84,Y
Kyrgyzstan,USD,0.99,0.75,Y
Laos,USD,0.99,0.77,Y
Latvia,EUR,0.99,0.7,Y
Lebanon,USD,0.99,0.84,Y
Liberia,USD,0.99,0.84,Y
Libya,USD,0.99,0.84,Y
Lithuania,EUR,0.99,0.7,Y
Luxembourg,EUR,0.99,0.72,Y
Macau,USD,0.99,0.84,Y
Madagascar,USD,0.99,0.84,Y
Malawi,USD,0.99,0.84,Y
Malaysia,MYR,4.9,3.86,Y
Maldives,USD,0.99,0.84,Y
Mali,USD,0.99,0.84,Y
Malta,EUR,0.99,0.71,Y
Mauritania,USD,0.99,0.84,Y
Mauritius,USD,0.99,0.73,Y
Mexico,MXN,19.0,13.92,Y
Micronesia,USD,0.99,0.84,Y
Moldova,USD,0.99,0.7,Y
Mongolia,USD,0.99,0.84,Y
Montenegro,EUR,0.99,0.84,Y
Montserrat,USD,0.99,0.84,Y
Morocco,USD,0.99,0.84,Y
Mozambique,USD,0.99,0.84,Y
Myanmar,USD,0.99,0.84,Y
Namibia,USD,0.99,0.84,Y
Nauru,USD,0.99,0.84,Y
Nepal,USD,0.99,0.73,Y
Netherlands,EUR,0.99,0.7,Y
New Zealand,NZD,1.99,1.47,Y
